iteration,Fast (a=0.90),Medium (a=0.95),Slow (a=0.98),VerySlow (a=0.99 T0=20)
55100,,,6.8831,7.5309
55200,,,6.8831,7.5309
55300,,,6.8063,7.5309
55400,,,6.8063,7.5309
55500,,,6.8063,7.5309
55600,,,6.8014,7.5309
55700,,,6.8008,7.5309
55800,,,6.8008,7.5309
55900,,,6.8008,7.5309
56000,,,6.8008,7.5309
56100,,,6.8008,7.5309
56200,,,6.8008,7.5309
56300,,,6.8008,7.5309
56400,,,6.7550,7.5309
56500,,,6.7209,7.5309
56600,,,6.7209,7.5309
56700,,,6.7209,7.5309
56800,,,6.7209,7.5309
56900,,,6.7209,7.5309
57000,,,6.7209,7.5309
57100,,,6.7208,7.5309
57200,,,6.6515,7.5309
57300,,,6.6515,7.5309
57400,,,6.6515,7.5309
57500,,,6.6515,7.5309
57600,,,6.6515,7.5309
57700,,,6.6515,7.5309
57800,,,6.6515,7.5309
57900,,,6.6515,7.5309
58000,,,6.6515,7.5309
58100,,,6.6515,7.5309
58200,,,6.6515,7.5309
58300,,,6.6515,7.5309
58400,,,6.6515,7.5309
58500,,,6.6515,7.5309
58600,,,6.6515,7.5309
58700,,,6.6515,7.5309
58800,,,6.6515,7.5309
58900,,,6.6515,7.5309
59000,,,6.6515,7.5309
59100,,,6.6515,7.5309
59200,,,6.6515,7.5309
59300,,,6.6515,7.5309
59400,,,6.6515,7.5309
59500,,,6.6515,7.5309
59600,,,6.6515,7.5309
59700,,,6.6515,7.5309
59800,,,6.6515,7.5309
59900,,,6.6515,7.5309
60000,,,6.6515,7.5309
60100,,,6.6515,7.5309
60200,,,6.6515,7.5309
60300,,,6.6515,7.5309
60400,,,6.6515,7.5309
60500,,,6.6515,7.5309
60600,,,6.6515,7.5309
60700,,,6.6515,7.5309
60800,,,6.6515,7.5309
60900,,,6.6515,7.5309
61000,,,6.6515,7.5309
61100,,,6.6515,7.5309
61200,,,6.6515,7.5309
61300,,,6.6515,7.5309
61400,,,6.6515,7.5309
61500,,,6.6515,7.5309
61600,,,6.6515,7.5309
61700,,,6.6515,7.5309
61800,,,6.6515,7.5309
61900,,,6.5873,7.5309
62000,,,6.5873,7.5309
62100,,,6.5873,7.5309
62200,,,6.5873,7.5309
62300,,,6.5873,7.5309
62400,,,6.5873,7.5309
62500,,,6.5873,7.5309
62600,,,6.5658,7.5309
62700,,,6.5651,7.5309
62800,,,6.5651,7.5309
62900,,,6.5327,7.5309
63000,,,6.5261,7.5309
63100,,,6.5261,7.5309
63200,,,6.5261,7.5309
63300,,,6.5261,7.5309
63400,,,6.5261,7.5309
63500,,,6.5261,7.5309
63600,,,6.5261,7.5309
63700,,,6.5261,7.5309
63800,,,6.5261,7.5309
63900,,,6.5261,7.5309
64000,,,6.5261,7.5309
64100,,,6.5261,7.5309
64200,,,6.5261,7.5309
64300,,,6.5261,7.5309
64400,,,6.5261,7.5309
64500,,,6.5261,7.5309
64600,,,6.5261,7.5309
64700,,,6.5261,7.5309
64800,,,6.5261,7.5309
64900,,,6.5203,7.5309
65000,,,6.5203,7.5309
65100,,,6.4749,7.5309
65200,,,6.4749,7.5309
65300,,,6.4742,7.5309
65400,,,6.4742,7.5309
65500,,,6.4742,7.5309
65600,,,6.4742,7.5309
65700,,,6.4742,7.5309
65800,,,6.4742,7.5309
65900,,,6.4742,7.5309
66000,,,6.4411,7.5309
66100,,,6.4411,7.5309
66200,,,6.4411,7.5309
66300,,,6.4411,7.5309
66400,,,6.4411,7.5309
66500,,,6.4411,7.5309
66600,,,6.4411,7.5309
66700,,,6.4411,7.5309
66800,,,6.4411,7.5309
66900,,,6.4411,7.5309
67000,,,6.4411,7.5309
67100,,,,7.5309
67200,,,,7.5309
67300,,,,7.5309
67400,,,,7.5309
67500,,,,7.5309
67600,,,,7.5309
67700,,,,7.5309
67800,,,,7.5309
67900,,,,7.5309
68000,,,,7.5309
68100,,,,7.5309
68200,,,,7.5309
68300,,,,7.5309
